source_abs;target_abs;kind;collision;status;detail
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/27.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e27.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/28.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e28.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/2.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e02.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/3.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e03.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/4.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e04.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/5.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e05.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/6.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e06.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/7.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e07.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/8.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e08.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S03/9.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 03/Paw Patrol (2013) - s03e09.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/10.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e10.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/11.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e11.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/12.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e12.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/13.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e13.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/14.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e14.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/15.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e15.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/16.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e16.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/17.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e17.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/18.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e18.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/19.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e19.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/1.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e01.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/20.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e20.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/21.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e21.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/22.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e22.mkv;tv_show;no;skipped_missing_source;source not found
/mnt/synology/video/Детское/Paw Patrol/PAW.Patrol.S04/23.mkv;/mnt/synology/video/Kids/TV Shows/Paw Patrol (2013) {tvdb-272472}/Season 04/Paw Patrol (2013) - s04e23.mkv;tv_show;no;skipped_missing_source;source not found
