path;kind;title;detail;tmdb;match_title;match_year;note
Paw Patrol/PAW.Patrol.S05/7.mp4;tv_show;Щенячий патруль;S05E07;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S05/8.mp4;tv_show;Щенячий патруль;S05E08;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S05/9.mp4;tv_show;Щенячий патруль;S05E09;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/10.mp4;tv_show;Щенячий патруль;S06E10;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/11.mp4;tv_show;Щенячий патруль;S06E11;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/12.mp4;tv_show;Щенячий патруль;S06E12;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/13.mp4;tv_show;Щенячий патруль;S06E13;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/14.mp4;tv_show;Щенячий патруль;S06E14;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/15.mp4;tv_show;Щенячий патруль;S06E15;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/16.mp4;tv_show;Щенячий патруль;S06E16;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/17.mp4;tv_show;Щенячий патруль;S06E17;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/18.mp4;tv_show;Щенячий патруль;S06E18;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/19.mp4;tv_show;Щенячий патруль;S06E19;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/1.mp4;tv_show;Щенячий патруль;S06E01;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/20.mp4;tv_show;Щенячий патруль;S06E20;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/21.mp4;tv_show;Щенячий патруль;S06E21;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/22.mp4;tv_show;Щенячий патруль;S06E22;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/23.mp4;tv_show;Щенячий патруль;S06E23;57532;Щенячий патруль;2013;
Paw Patrol/PAW.Patrol.S06/24.mp4;tv_show;Щенячий патруль;S06E24;57532;Щенячий патруль;2013;
